Time [s],Channel 0
0.901495576,1
0.901498552,0
0.901500576,1
0.901503552,0
0.901506576,1
0.901508552,0
0.901509576,1
0.901511624,0
0.901513624,1
0.901535752,0
0.901545776,1
0.901547752,0
0.901553776,1
0.901555752,0
0.901557776,1
0.901559752,0
0.901567776,1
0.901569752,0
0.901579776,1
0.901581760,0
0.901591776,1
0.901593760,0
0.901603784,1
0.901605760,0
0.901613784,1
0.901623760,0
0.901625784,1
0.901635760,0
0.901637784,1
0.901647760,0
0.901649784,1
0.901659760,0
0.901661784,1
0.901671760,0
0.901673784,1
0.901683768,0
0.901685784,1
0.901695768,0
0.901697784,1
0.901707768,0
0.901709784,1
0.901719768,0
0.901721784,1
0.901727768,0
0.901733792,1
0.901735768,0
0.901741792,1
0.901743768,0
0.901747792,1
0.901751768,0
0.901753792,1
0.901755768,0
0.901757792,1
0.901759872,0
0.901761872,1
1.001298776,0
1.001306792,1
1.001316768,0
1.001318792,1
1.001322768,0
1.001328792,1
1.001330768,0
1.001332792,1
1.001334768,0
1.001335792,1
1.001336768,0
1.001337792,1
1.001338768,0
1.001343792,1
1.001344768,0
1.001348792,1
1.001353776,0
1.001354792,1
1.001359776,0
1.001360792,1
1.001365776,0
1.001366792,1
1.001371776,0
1.001372792,1
1.001377776,0
1.001378792,1
1.001383776,0
1.001384800,1
1.001389776,0
1.001390800,1
1.001395776,0
1.001396800,1
1.001401776,0
1.001402800,1
1.001407776,0
1.001408800,1
1.001413776,0
1.001414800,1
1.001419776,0
1.001420800,1
1.001425776,0
1.001426800,1
1.001431776,0
1.001432800,1
1.001437776,0
1.001438800,1
1.001443776,0
1.001444800,1
1.001449776,0
1.001450800,1
1.001455776,0
1.001456800,1
1.001461784,0
1.001462800,1
1.001467784,0
1.001468800,1
1.001473784,0
1.001474800,1
1.001479784,0
1.001480800,1
1.001485784,0
1.001486800,1
1.001491784,0
1.001494800,1
1.001496784,0
1.001497800,1
1.001501784,0
1.001503808,1
1.001506784,0
1.001508808,1
1.001511784,0
1.001514808,1
1.001516784,0
1.001517808,1
1.001519864,0
1.001521864,1
1.001543984,0
1.001554008,1
1.001555984,0
1.001562008,1
1.001563984,0
1.001566008,1
1.001567984,0
1.001576008,1
1.001577984,0
1.001588008,1
1.001589992,0
1.001600008,1
1.001601992,0
1.001612016,1
1.001613992,0
1.001622016,1
1.001631992,0
1.001634016,1
1.001643992,0
1.001646016,1
1.001655992,0
1.001658016,1
1.001667992,0
1.001670016,1
1.001679992,0
1.001682016,1
1.001692000,0
1.001694016,1
1.001704000,0
1.001706016,1
1.001716000,0
